iedCode,reefer,teu,gross,arrivalLocationX,arrivalLocationY,arrivalLocationZ,released,numberOfArrivalContainersOnVessel,numberOfRemainOnBoardContainersOnVessel,numberOfDepartureContainersOnVessel,temperature_2m,relative_humidity_2m,precipitation,rain,weather_code,cloud_cover,wind_speed_10m,wind_gusts_10m,is_raining,bad_weather_score,dwell_hours,iso_22GB,iso_22K2,iso_22P3,iso_22R1,iso_22T1,iso_22T6,iso_22U1,iso_25G1,iso_42G1,iso_42P3,iso_42U1,iso_45G0,iso_45G1,iso_45P3,iso_45R1,iso_45R5,iso_45U1,iso_4EG1,iso_L5G1,iso_OTHER,arrival_hour,arrival_dayofweek,arrival_month,arrival_is_weekend,arrival_hour_sin,arrival_hour_cos,arrival_month_sin,arrival_month_cos,eta_error_hours,arrivalPolCode_freq,arrivalVesselName_freq,service_Arctic Container Lines AS,service_BOERDE,"service_Baltic Sea, etc (UNIFEEDER) FLZ",service_CMA CGM EPIC,service_CMA CGM FAL 1,service_CMA CGM FAL3,service_CMA CGM FEMEX,service_Diverse (absolute Ausnahme NUR Hauptschiffe),service_EUROMAR,service_FLX FINLAND EXPRESS,service_HSUD NEO SAMBA SAEC 1,service_IOS - ME 1,service_LEVANTE,service_MAE EUROSAL/SAWC,service_MAERSK E27,service_MAERSK Extra,service_MSC BRITANNIA,service_MSC EQUADOR/ BALTIC,service_MSC GREECE TURKEY,service_MSC IPAK,service_MSC NWC to IPAK,service_MSC SAF - SÜDAFRIKA,service_MSC SWAN,service_MSC-EXTRA,service_MSC/ZIM ISRAEL,service_NE 2,service_NE 2 / AE1,service_NE 4,service_NE 4 / AE 5,service_NEMO / AUSTRALIEN,service_NWL-Barge,service_Norwegen (NORTH SEA CONTAINER LINE),service_Norwegendienst Westküste,service_PLX POLAND,service_RFS FEEDER IE1,service_RFS FEEDER IE2,service_SBX BALTIC UNIF/CMA/ OOCL,service_SWX 2 SERVICE,service_WALTER LAUK,service_X-PRESS FEEDER,line_8,line_27,line_28,line_32,line_33,line_42,line_64,line_67,line_68,line_70,line_77,line_91,line_160,line_161,line_163,line_167,line_196,line_322,arrivalType_BINNEN,arrivalType_FEEDER,arrivalType_OCEAN_CARRIER,arrivalType_SCHUTE,arrivalServiceCode_freq,type_AC,type_DC,type_DO,type_FC,type_FR,type_OH,type_OT,type_PL,type_RF,type_SR,type_TK,snapshot_time,arrival_year,snapshot_year,snapshot_date,snapshot_hour,snapshot_minute,snapshot_second,containerId,vessel_total_load,vessel_arrival_fraction,vessel_remain_fraction,vessel_departure_fraction,arrival_to_departure_container_ratio,abs_eta_error_hours,late_arrival_flag,very_late_arrival_flag,early_arrival_flag,port_container_count,import_count,export_count,unique_vessels,unique_services,unique_ports_of_loading,import_export_ratio,rolling_7d_port_count,rolling_7d_import_count,rolling_7d_export_count,rolling_14d_port_count,rolling_14d_import_count,rolling_14d_export_count,rolling_30d_port_count,rolling_30d_import_count,rolling_30d_export_count,raw_arrivalPolCode,raw_arrivalVesselName,raw_arrivalServiceName,raw_arrivalServiceCode,dwell_bucket,pol_bucket_mean_smooth,pol_dwell_mean_smooth,pol_dwell_median,pol_dwell_p90,pol_count,vessel_bucket_mean_smooth,vessel_dwell_mean_smooth,vessel_dwell_median,vessel_dwell_p90,vessel_count,service_bucket_mean_smooth,service_dwell_mean_smooth,service_dwell_median,service_dwell_p90,service_count
0,0,1,18353,31,18,16,1,2999,1051,2084,9.1,90,0.0,0.0,3,100,6.7,11.2,0,1,16.153055555555557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,0,-0.9659258262890684,-0.2588190451025206,-0.5000000000000004,0.8660254037844384,36.31444444444445,0.1055138477507781,0.0246833314963607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1068165582059897,0,1,0,0,0,0,0,0,0,0,0,2024-11-06 01:55:25+00:00,2024,2024,2024-11-06,1,55,25,CXDU1429053,6134,0.4889142484512553,0.1713400717313335,0.3397456798174111,1.439059500959693,36.31444444444445,1,0,0,21403,16273,5130,106,26,175,3.1721247563352826,21186.42857142857,15666.857142857143,5519.714285714285,20696.0,15317.90909090909,5378.909090909091,20696.0,15317.90909090909,5378.909090909091,MYTPP,ANE MAERSK,2M AE7 / CONDOR,182,0,1.6009027728821963,91.89612869980428,77.52472222222222,175.85505555555557,12395,0.9845600709558278,58.29194584448395,47.5475,106.36966666666672,4565,1,90,65,197,13997
0,0,2,12873,30,10,78,1,591,3705,313,7.2,78,0.0,0.0,1,31,20.8,46.1,0,1,123.69777777777776,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,3,4,0,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,4.627222222222223,0.0785745278399015,0.0056518299735336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0999712569904115,0,1,0,0,0,0,0,0,0,0,0,2025-04-16 01:55:44+00:00,2025,2025,2025-04-16,1,55,44,TCLU6330672,4609,0.1282273812106747,0.8038620091126057,0.0679106096767194,1.8881789137380192,4.627222222222223,0,0,0,21603,12672,8932,108,30,110,1.41871921182266,21907.714285714286,12583.57142857143,9324.57142857143,22080.35714285714,12607.714285714286,9473.357142857143,21950.233333333334,14437.9,7512.833333333333,CNYTN,APL FULLERTON,CMA CGM FAL 1,197,3,1.4360716886412628,82.93904728858092,66.56361111111111,169.73122222222224,9855,1.3659300314835117,77.37384046831623,73.84722222222223,174.11583333333334,467,1,85,67,181,11507
0,0,2,10469,70,20,72,1,3398,899,2121,14.3,63,0.0,0.0,3,95,21.5,52.2,0,2,76.75722222222223,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,4,4,0,-0.4999999999999998,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,23.59055555555556,0.1055138477507781,0.0323693179994949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1196351033073995,0,1,0,0,0,0,0,0,0,0,0,2025-04-17 01:55:30+00:00,2025,2025,2025-04-17,1,55,30,HAMU3006901,6418,0.5294484263010284,0.1400747896540978,0.3304767840448738,1.6020744931636022,23.59055555555556,0,0,0,21591,12432,9161,110,29,110,1.357057089837354,21928.285714285717,12633.285714285714,9295.714285714286,22105.214285714286,12627.07142857143,9479.0,21967.466666666667,14330.366666666669,7637.666666666667,MYTPP,AL ZUBARA,NE 2,219,2,1.6009027728821963,91.89612869980428,77.52472222222222,175.85505555555557,12395,1.5212730818007878,83.10345687407315,72.4175,130.80594444444446,4385,2,99,87,175,11738
1,0,2,29772,22,14,16,1,1248,1592,1800,13.2,67,0.0,0.0,3,100,11.6,23.4,0,1,251.8494444444445,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,6,4,1,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,3.854444444444444,0.0166011169723714,0.0114724754066569,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0601928851284226,0,1,0,0,0,0,0,0,0,0,0,2025-04-24 01:55:56+00:00,2025,2025,2025-04-24,1,55,56,UETU6889520,4640,0.2689655172413793,0.3431034482758621,0.3879310344827586,0.6933333333333334,3.854444444444444,0,0,0,17043,8915,8129,97,29,102,1.0966908598843643,20511.714285714286,11581.714285714286,8930.285714285714,21220.0,12107.5,9113.0,21795.533333333333,13342.9,8453.266666666666,MAPTM,AL RIFFA,IOS - ME 1,221,3,1.831028560287648,106.43446724395211,93.47666666666667,205.95644444444443,1553,1.1702721341216495,74.18729559275396,50.54986111111111,207.26486111111112,1332,1,80,56,190,7396
0,0,1,8850,27,4,6,1,1598,2342,2370,14.4,63,0.0,0.0,3,100,12.5,31.7,0,2,28.212222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,20.6725,0.0785745278399015,0.0099112811977247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0600254501211113,0,1,0,0,0,0,0,0,0,0,0,2025-04-28 01:55:51+00:00,2025,2025,2025-04-28,1,55,51,CAIU6682445,6310,0.2532488114104596,0.3711568938193343,0.375594294770206,0.6742616033755274,20.6725,0,0,0,20398,11516,8882,101,26,107,1.2965548299932448,18800.0,10349.142857142857,8451.0,20313.0,11490.285714285714,8823.214285714286,21305.166666666668,12430.3,8875.5,CNYTN,MARIE MAERSK,NE 4,220,0,1.4360716886412628,82.93904728858092,66.56361111111111,169.73122222222224,9855,1.3638280470381463,84.8878202033091,57.94444444444444,206.6007777777778,1539,1,72,44,169,6483
0,0,1,27120,25,14,4,1,297,2264,530,14.9,69,0.0,0.0,1,36,20.2,34.9,0,1,50.26361111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,10,0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,11.945,0.0015542183634945,0.0021443748875144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0028477904160201,0,1,0,0,0,0,0,0,0,0,0,2024-10-27 01:55:36+00:00,2024,2024,2024-10-27,1,55,36,MSMU1052200,3091,0.096085409252669,0.7324490456163054,0.1714655451310255,0.560377358490566,11.945,0,0,0,18647,13967,4680,109,24,156,2.984401709401709,18647.0,13967.0,4680.0,18647.0,13967.0,4680.0,18647.0,13967.0,4680.0,ZADUR,MSC CAROLE,MSC SAF - S�DAFRIKA,113,1,1.5770048446726186,90.27955804108784,69.17083333333333,172.74388888888888,171,1.762421675837019,104.37769764150356,78.97319444444445,202.40380555555555,198,2,96,78,178,311
0,0,1,5241,41,14,4,1,3686,2071,734,14.6,55,0.0,0.0,0,0,9.0,22.3,0,0,136.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,39.78611111111111,0.0634076446894981,0.0086863227388843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.1068165582059897,0,1,0,0,0,0,0,0,0,0,0,2025-04-01 01:55:47+00:00,2025,2025,2025-04-01,1,55,47,FBXU8162348,6491,0.5678631951933446,0.31905715606224,0.1130796487444153,5.021798365122616,39.78611111111111,1,0,0,23748,14801,8948,114,30,154,1.6541126508717032,22509.285714285717,16727.85714285714,5782.0,21878.92857142857,16270.785714285714,5608.428571428572,21393.7,15886.65,5507.7,CNNGB,MAERSK HORSBURGH,2M AE7 / CONDOR,182,3,1.5419889036138288,90.5484135515252,71.98638888888888,188.08083333333337,7737,2.6056233863314224,155.52630688534438,130.64444444444445,288.00444444444446,1653,1,90,65,197,13997
1,0,1,24650,31,2,4,0,653,2334,807,15.9,85,0.0,0.0,3,100,10.2,20.2,0,1,173.14166666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,4,0,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,5.464166666666666,0.0381690358963054,0.006281051232004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.029065321977519,0,1,0,0,0,0,0,0,0,0,0,2025-04-25 01:56:39+00:00,2025,2025,2025-04-25,1,56,39,TRHU2245399,3794,0.1721138639957828,0.6151818661043753,0.2127042698998418,0.8091697645600991,5.464166666666666,0,0,0,17527,9126,8401,94,28,105,1.0862992500892752,19938.285714285717,11126.142857142857,8812.285714285714,20955.0,11907.785714285714,9047.714285714286,21688.066666666666,13127.9,8560.8,INMUN,CMA CGM PELLEAS,CMA CGM EPIC,218,3,1.4362059398135465,83.10799629986992,64.03277777777778,178.44027777777777,4311,1.4564535120263788,86.57895443479809,52.805,182.4608333333333,756,1,87,61,189,3480
0,0,2,13815,86,12,74,1,3392,898,1769,10.8,95,0.0,0.0,3,100,5.1,11.9,0,1,22.076944444444443,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,6,10,1,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,8.938333333333333,0.0634076446894981,0.0293822609831198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1068165582059897,0,1,0,0,0,0,0,0,0,0,0,2024-10-30 01:56:15+00:00,2024,2024,2024-10-30,1,56,15,TGHU9854158,6059,0.5598283545139462,0.1482092754579963,0.2919623700280574,1.9174674957603168,8.938333333333333,0,0,0,20439,14793,5654,110,25,154,2.616377785638486,19837.75,14707.25,5132.5,19837.75,14707.25,5132.5,19837.75,14707.25,5132.5,CNNGB,EVELYN MAERSK,2M AE7 / CONDOR,182,0,1.5419889036138288,90.5484135515252,71.98638888888888,188.08083333333337,7737,1.530940595832996,92.08901118804818,67.08805555555556,197.53702777777775,2540,1,90,65,197,13997
1,0,2,30500,14,1,72,0,3771,5001,1317,3.0,99,0.0,0.0,3,87,7.9,15.1,0,1,67.48527777777778,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,3,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,3.466666666666667,0.0362311460337435,0.0331603788721174,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1111475437284427,0,1,0,0,0,0,0,0,0,0,0,2025-04-01 01:55:47+00:00,2025,2025,2025-04-01,1,55,47,ECMU7290402,10089,0.3737734165923282,0.495688373476063,0.1305382099316087,2.8633257403189067,3.466666666666667,0,0,0,23748,14801,8948,114,30,154,1.6541126508717032,22509.285714285717,16727.85714285714,5782.0,21878.92857142857,16270.785714285714,5608.428571428572,21393.7,15886.65,5507.7,CNTAO,CMA CGM CHAMPS ELYSEES,CMA CGM FAL3,152,1,1.3266731263780869,79.95807773081013,53.66222222222222,174.7458888888889,4303,1.7693787269249477,93.13260980972944,90.72,158.46205555555554,2945,2,85,74,172,12962
